Quote|Author|Source Alt|Source Link|Context
Vous voyez les populismes  monter, comme une lèpre, un peu partout en Europe, dans des pays où nous pensions que c'était impossible de les voir réapparaître.|Emmanuel Macron|Le Figaro, 21/06/2018|https://www.lefigaro.fr/politique/le-scan/2018/06/21/25001-20180621ARTFIG00202-migrants-macron-defend-ses-choix-et-fustige-la-lepre-populiste-en-europe.php|
Le gaulois réfractaires au changement|Emmanuel Macron|Le Huffington Post|https://www.youtube.com/watch?v=6UHrvADhJVk|
Je veux que la France soit une start-up nation|Emmanuel Macron|Discours au salon Vivatech, 15/06/2017|https://youtu.be/iZd-g-_YL6k?si=gTYIDBVdj8q6qLkh|
Je ne crois pas au modèle amish|Emmanuel Macron|Le nouvel Obs, 15/09/2020|https://youtu.be/YcSN6QzdvMM?si=c30oZ_57fTpJuZ6n|
Je traverse la rue et je vous trouve un travail|Emmanuel Macron|Euronews, 17/09/2018|https://www.youtube.com/watch?v=FHMy6DhOXrI|Citation apocryphe. La vraie citation est 'Je traverse la rue, je vous en trouve', à propos d'un travail.
Il faut des jeunes Français qui aient envie de devenir milliardaires|Emmanuel Macron|Les Echos, 06/01/2015|https://www.lesechos.fr/2015/01/emmanuel-macron-il-faut-des-jeunes-francais-qui-aient-envie-de-devenir-milliardaires-241247|
Je ne vais pas interdire Uber, ce serait renvoyer [les jeunes de banlieue sans qualifications] vendre de la drogue|Emmanuel Macron|Euronews, 17/09/2018|https://www.youtube.com/watch?v=FHMy6DhOXrI|Citation apocryphe. La vraie citation est 'Je traverse la rue, je vous en trouve', à propos d'un travail.
Il faut des jeunes Français qui aient envie de devenir milliardaires|Emmanuel Macron|Uber Files - Le monde, 10/07/2022|https://www.lemonde.fr/pixels/article/2022/07/10/uber-files-revelations-sur-le-deal-secret-entre-uber-et-macron-a-bercy_6134202_4408996.html|
Votre problème, c’est que vous croyez qu’un père est forcément un mâle|Emmanuel Macron|Valeurs Actuelles, 29/01/2020|https://www.valeursactuelles.com/clubvaleurs/societe/info-va-emmanuel-macron-votre-probleme-cest-que-vous-croyez-quun-pere-est-forcement-un-male|
L'art français je ne l'ai jamais vu|Emmanuel Macron|Discours à Londres, 21/02/2017|https://www.youtube.com/watch?v=xncCLi6EabU|
Une gare, c’est un lieu où on croise les gens qui réussissent et les gens qui ne sont rien|Emmanuel Macron|20 Minutes, 29 juin 2017|https://www.20minutes.fr/politique/2097855-20170703-video-emmanuel-macron-croisez-gens-reussissent-autres-rien-phrase-fait-polemique|
Les forces du monde ancien sont toujours là, bien présentes, et toujours engagées dans la bataille pour faire échouer la France.|Emmanuel Macron|Le Figaro, 30/08/2017|https://www.lefigaro.fr/politique/2017/08/30/01002-20170830ARTFIG00304-macron-lance-l-offensive-contre-les-forces-du-monde-ancien.php|
Ce que vous proposez, comme d'habitude, c'est de la poudre de perlimpinpin.|Emmanuel Macron|LCI, 04/05/2017|https://www.youtube.com/watch?v=iOAbBdlWgz0&t=4118s|
Make our planet great again!|Emmanuel Macron|LCI, 04/05/2017|https://www.20minutes.fr/high-tech/2079111-20170602-video-accord-paris-make-our-planet-great-again-macron-paie-trump-anglais|
L'audiovisuel public est la honte de la République.|Emmanuel Macron|L'Express, 05/12/2017|https://www.lexpress.fr/politique/pour-macron-le-service-public-audiovisuel-est-la-honte-de-la-republique_1966323.html|
Les devoirs valent avant les droits.|Emmanuel Macron|Le Figaro, 31/12/2021|https://youtu.be/ES3xyes4STo?si=R0jdP3thmWDVmHIE|
Je ne céderai rien, ni aux fainéants, ni aux cyniques, ni aux extrêmes.|Emmanuel Macron|Le Figaro, 08/09/2017|https://video.lefigaro.fr/figaro/video/macron-ne-veut-rien-ceder-aux-faineants-aux-cyniques-et-aux-extremes/5569154761001|
